,0,1,2,3,4,5,6,7,8,9
0,76,0,0,0,0,0,0,0,0,0
1,0,68,0,0,0,1,0,0,0,1
2,0,0,139,0,0,1,0,1,0,0
3,0,0,0,189,0,0,0,0,0,0
4,0,0,0,0,171,1,0,2,0,0
5,0,0,0,0,3,90,0,0,0,0
6,0,0,3,1,0,1,129,0,0,0
7,0,0,0,0,5,1,0,153,0,0
8,0,0,0,0,0,0,0,0,145,0
9,0,0,0,0,0,0,0,2,0,43
