Epoch [48/200], Train Loss: 1.0601, Train Acc: 0.6342, Val Loss: 1.1368, Val Accuracy: 0.6256, LR: 0.000078
Epoch [49/200], Train Loss: 1.0574, Train Acc: 0.6393, Val Loss: 1.1206, Val Accuracy: 0.6427, LR: 0.000080
Epoch [50/200], Train Loss: 1.0454, Train Acc: 0.6404, Val Loss: 1.1060, Val Accuracy: 0.6338, LR: 0.000082
Epoch [51/200], Train Loss: 1.0191, Train Acc: 0.6498, Val Loss: 1.1800, Val Accuracy: 0.6207, LR: 0.000083
Epoch [52/200], Train Loss: 1.0137, Train Acc: 0.6485, Val Loss: 1.1532, Val Accuracy: 0.6248, LR: 0.000085
Epoch [53/200], Train Loss: 1.0151, Train Acc: 0.6509, Val Loss: 1.1929, Val Accuracy: 0.6142, LR: 0.000086
Epoch [54/200], Train Loss: 1.0220, Train Acc: 0.6506, Val Loss: 1.0749, Val Accuracy: 0.6444, LR: 0.000088
Epoch [55/200], Train Loss: 1.0048, Train Acc: 0.6558, Val Loss: 1.0480, Val Accuracy: 0.6542, LR: 0.000090
Epoch [56/200], Train Loss: 0.9979, Train Acc: 0.6530, Val Loss: 1.1454, Val Accuracy: 0.6232, LR: 0.000091
Epoch [57/200], Train Loss: 0.9854, Train Acc: 0.6611, Val Loss: 1.0794, Val Accuracy: 0.6452, LR: 0.000093
Epoch [58/200], Train Loss: 0.9757, Train Acc: 0.6693, Val Loss: 1.1345, Val Accuracy: 0.6330, LR: 0.000095
Epoch [59/200], Train Loss: 0.9096, Train Acc: 0.6905, Val Loss: 1.0171, Val Accuracy: 0.6607, LR: 0.000002
Epoch [60/200], Train Loss: 0.8579, Train Acc: 0.7035, Val Loss: 0.9724, Val Accuracy: 0.6852, LR: 0.000003
